catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-951,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-951,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-744,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-744,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1041,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1278,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1278,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1611,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1688,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1688,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-2024,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2024,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-72,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-72,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-72,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-111,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-111,,,*,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-111,,,*,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
D-111,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-111,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-194,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-194,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-194,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-234,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-234,,,*,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
